CC,HP,Year,Kilometers,Gas_1/ Diesel_0,ABS,ABD,CD,AW,A_C,MP,Car_Price
1600,105,1995,160000,1,1,1,1,1,1,1,8414.17
1896,136,1995,130000,1,1,1,1,0,0,1,12000
1800,140,1993,112000,1,1,1,1,1,0,0,8000
1900,140,1998,60000,1,1,1,1,1,1,1,12621.25
2000,150,1992,114000,1,1,0,0,0,0,1,7900
2000,150,1994,99520,1,1,1,0,1,0,1,14000
2000,136,1998,45000,0,1,1,0,0,0,,21000
2000,136,1999,38000,0,1,1,0,1,0,1,21936.94
2000,170,1997,120000,1,1,1,1,1,0,1,15900
2000,135,2001,12000,0,1,1,0,0,0,1,27045
2000,125,1997,123000,1,1,1,0,1,0,1,11419.23
2494,170,1996,100000,1,1,1,0,1,0,1,16527.83
2400,115,1989,200000,0,1,0,0,1,1,1,6010
2500,192,1994,91000,1,1,0,1,0,1,1,9500
2793,192,1998,45000,1,1,1,0,1,0,1,24641
4000,200,1994,132000,1,1,1,1,1,0,1,9015
3900,286,1996,145000,1,1,1,0,1,0,1,18040
3200,321,1998,74000,1,1,1,1,1,0,1,27500
3200,321,1998,75000,1,1,1,1,1,1,1,30000
1900,140,1997,50000,1,1,1,0,1,0,1,20735
3200,321,1998,70000,1,1,1,1,1,0,1,31252
1900,105,2001,12012,1,1,1,0,1,1,1,19232.39
2000,130,1988,80000,1,0,0,1,1,1,1,3305
3500,216,1981,168000,1,1,1,0,1,1,1,5000
2500,143,1994,17000,1,1,1,0,0,0,0,10758.12
1800,105,1993,99000,1,1,1,0,0,0,1,9616.19
1800,140,1990,73000,1,0,0,0,1,0,0,3606.07
1800,140,1991,130000,1,1,0,1,1,1,0,3455.82
2000,170,1993,120000,1,1,1,0,1,1,,10818.22
2000,150,1993,147000,1,1,0,1,1,0,,6500
2400,124,1991,120000,0,1,1,0,1,0,1,7212.15
2500,143,1995,92000,0,1,0,0,0,0,1,12000
2900,286,1994,72000,1,1,1,0,1,0,,19200
1800,143,1992,133000,1,1,0,1,1,1,1,8564.42
3000,200,1990,125000,1,1,0,0,1,0,1,9015
2500,170,1996,88000,1,1,1,0,1,1,0,15566.21
1800,90,1996,91000,1,0,1,0,0,0,1,10200
2000,135,1999,110000,0,1,1,1,0,1,1,19900
2000,136,1999,97000,0,1,1,0,1,1,1,22000
1950,136,1999,45000,0,1,1,0,0,0,1,22540
2000,136,1999,66000,0,1,1,1,1,1,1,21330
1999,136,1999,38000,0,1,1,0,1,0,1,23439.47
2200,136,2001,30000,0,1,1,1,1,1,1,27045.54
1800,116,1988,145000,0,0,0,0,1,0,1,3700
2497,143,1995,85000,0,1,1,0,1,0,1,15626.31
2500,136,1999,124000,0,1,1,1,1,1,1,22000
3000,184,2000,1000,0,1,1,1,1,1,1,40267.81
3500,225,1989,190000,1,1,1,1,1,0,,6600
2300,200,1987,120000,1,1,0,0,1,0,1,9900
1900,118,1999,23000,1,1,1,1,1,1,1,21100
1900,140,1998,60000,1,1,1,1,1,1,1,19999
1900,150,1998,32000,1,1,1,0,1,1,1,22237.45
3400,210,1987,207000,1,1,0,0,1,0,0,7753
5000,300,1990,96000,1,1,0,0,1,0,0,14364.19
1800,105,1991,80000,1,0,0,0,1,1,1,7512.65
1980,118,1992,220000,1,0,0,0,0,0,0,6000
1800,140,1995,119000,1,1,1,0,1,1,1,9916.7
1900,105,1998,75000,0,1,1,1,1,1,1,15025.3
1800,136,1990,165000,1,0,0,0,1,0,0,2700
2000,150,1997,52000,1,1,1,0,1,1,1,13222.27
2000,136,1999,74000,0,1,1,0,1,1,,19000
2000,150,1995,94000,1,1,1,1,1,0,1,13522.77
2000,150,1993,137000,1,1,0,0,1,1,1,10250
2500,170,2000,30000,1,1,1,1,1,0,1,27045.54
2500,192,1994,125000,1,1,1,1,1,1,1,15626
2500,192,1993,150000,1,1,1,1,1,0,1,9638
2500,172,1995,120000,1,1,1,1,1,1,1,13000
2800,193,1998,112000,1,1,1,1,1,1,1,23000
4000,326,1996,92000,1,1,1,1,1,1,1,36000
1800,140,1992,135000,1,1,1,1,1,0,0,9320
2000,136,1999,62000,0,1,1,0,1,0,1,19750
1895,105,2000,65000,1,1,1,1,1,1,1,16000
2500,193,1992,230000,1,1,0,1,1,1,1,9990
2500,143,1995,203000,0,1,1,1,1,0,1,11900
