City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Price [euros]
Ciutat Vella,40,2,1,1,1,1,0,0,0,0,216364 
Eixample,160,5,2,0,0,0,0,0,0,0,516870 
Sarria - Sant Gervasi,200,5,3,0,0,0,0,0,0,0,727224 
Les Corts,180,5,5,1,1,1,0,1,1,0,591996 
Nou Barris,70,3,1,0,1,1,0,1,0,0,205546 
Eixample,110,4,2,0,0,1,0,0,0,0,360000 
Eixample,65,2,1,1,0,0,0,0,0,0,171288 
Eixample,95,3,1,1,0,1,0,0,0,0,315120 
Sant Marti,60,3,1,1,0,0,0,0,0,0,171300 
Sant Andreu,80,3,2,1,0,0,0,0,0,0,227183 
Nou Barris,75,3,1,1,0,0,0,0,0,0,205710 
Horta - Guinardó,67,2,1,0,0,0,0,0,0,0,171288 
Nou Barris,70,3,1,0,0,0,0,0,0,0,183308 
Gràcia,110,3,2,0,0,0,0,0,0,0,270405 
Horta - Guinardó,46,2,1,0,0,0,0,0,0,0,119000 
Horta - Guinardó,110,4,1,0,1,0,0,0,0,0,255430 
Gràcia,90,3,0,1,0,1,0,0,0,0,215000 
Gràcia,84,3,2,1,0,0,0,1,0,0,252426 
Sants - Montjuïc,100,1,1,0,0,0,0,0,1,0,99168 
Sant Marti,88,3,1,1,0,0,0,0,0,0,252425 
Eixample,100,4,2,0,0,0,0,0,0,0,297501 
Gràcia,110,3,2,0,0,0,0,1,0,0,324600 
Horta - Guinardó,60,3,1,0,0,0,0,0,0,0,145145 
Ciutat Vella,70,3,1,0,0,0,0,0,0,0,225380 
Nou Barris,70,3,1,0,0,0,0,1,0,0,175015 
Sant Andreu,80,3,1,0,0,1,0,0,0,0,141237 
Ciutat Vella,65,3,1,1,0,0,0,0,0,0,230900 
Sant Marti,110,2,2,0,0,1,0,0,1,0,203744 
Horta - Guinardó,50,2,1,1,0,0,0,0,0,0,155662 
Ciutat Vella,111,4,2,0,0,1,0,1,0,0,420708 
Sant Marti,117,3,2,1,0,1,1,0,0,0,297500 
Eixample,95,2.5,1,1,0,0,0,0,0,0,210000 
Ciutat Vella,40,1,1,0,0,0,0,0,0,0,149652 
Sants - Montjuïc,90,4,2,1,1,1,0,0,0,0,233794 
Sant Marti,103,3,2,0,0,1,0,0,0,0,511350 
Nou Barris,103,3,1,0,0,1,0,0,0,0,155662 
Eixample,73,2,2,1,0,0,0,0,0,0,210355 
Gràcia,80,3,1,1,0,0,0,0,0,0,198300 
Les Corts,95,4,2,0,0,0,0,0,0,0,252425 
Horta - Guinardó,70,3,1,1,0,0,0,0,0,0,177023 
Ciutat Vella,55,2,1,0,0,0,0,0,0,0,144242 
Sarria - Sant Gervasi,250,5,2,0,0,0,1,0,0,0,961619 
Eixample,75,1,1,0,1,1,0,0,0,0,300500 
Les Corts,110,4,2,1,0,0,0,0,0,0,375633 
Nou Barris,60,2,1,1,0,0,0,0,0,1,153258 
Sant Marti,82,4,1,0,0,0,0,0,0,0,143040 
Sant Andreu,70,3,1,0,0,0,0,0,0,0,135228 
Sant Andreu,110,5,3,1,1,1,0,0,0,0,336567 
Nou Barris,66,2,1,0,1,1,0,0,0,0,137540 
Sant Andreu,110,4,2,0,0,0,0,0,0,0,378637 
Horta - Guinardó,78,3,1,1,0,0,0,0,0,0,223570 
Sant Andreu,55,2,1,0,0,0,0,0,0,0,126212 
Eixample,80,3,1,1,0,0,0,1,0,0,257233 
Nou Barris,45,2,1,1,0,1,0,0,0,0,113591 
Nou Barris,65,3,1,0,0,0,0,0,0,0,125011 
Sants - Montjuïc,80,3,2,1,0,0,0,0,0,0,209754 
Sant Andreu,85,4,1,1,0,0,0,0,0,0,222376 
Gràcia,190,6,4,0,0,0,0,0,0,0,543900 
Sant Marti,70,3,1,0,0,0,0,0,0,0,174300 
Eixample,80,3,2,1,0,0,0,0,0,0,294000 
Eixample,113,1,1,0,0,1,0,0,0,0,454365 
Nou Barris,60,3,1,0,0,0,0,1,0,0,149291 
Horta - Guinardó,60,3,1,0,0,0,0,0,0,0,156263 
Eixample,84,3,1,0,0,0,0,0,0,0,282475 
Sant Andreu,80,4,1,0,0,0,0,0,0,0,225500 
Eixample,120,1,1,0,0,1,0,0,0,0,432700 
Nou Barris,80,3,1,0,0,0,0,0,0,0,179703 
Nou Barris,75,3,1,0,1,1,0,0,0,0,200000 
Sant Marti,100,4,1,1,0,1,0,0,0,0,207349 
Sarria - Sant Gervasi,100,3,2,0,0,0,1,1,0,0,468789 
Sant Marti,105,4,2,1,0,0,1,0,0,1,348587 
Sants - Montjuïc,146,4,2,0,0,0,1,1,0,0,462779 
Nou Barris,75,3,1,1,0,0,0,0,0,0,179700 
Sant Marti,65,2,1,0,0,0,0,0,0,0,108200 
Nou Barris,85,3,1,0,0,0,0,0,0,0,219369 
Horta - Guinardó,52,2,1,1,0,0,0,0,0,0,160800 
Sant Marti,85,2,1,0,0,0,0,0,0,0,152100 
Sant Andreu,85,3,1,1,0,1,0,0,0,0,221775 
Nou Barris,60,2,1,0,0,0,0,0,0,0,135829 
Horta - Guinardó,70,3,1,0,0,0,0,0,0,0,173542 
Ciutat Vella,60,3,1,0,0,0,0,0,0,0,113890 
Sant Andreu,65,3,1,1,1,1,0,0,0,0,174293 
Gràcia,100,3,1,0,0,0,0,1,0,0,210400 
Eixample,100,4,1,1,0,1,1,0,0,0,474800 
Nou Barris,80,3,1,1,0,0,0,0,0,0,215760 
Sarria - Sant Gervasi,150,4,2,0,0,1,0,0,0,0,490000 
Nou Barris,70,3,1,0,0,0,0,0,0,0,155562 
