,Ones,City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Price [euros]
0,1.0,0,40,2.0,1,1,1,1,0,0,0,0,216364
1,1.0,1,160,5.0,2,0,0,0,0,0,0,0,516870
2,1.0,2,200,5.0,3,0,0,0,0,0,0,0,727224
3,1.0,3,180,5.0,5,1,1,1,0,1,1,0,591996
4,1.0,4,70,3.0,1,0,1,1,0,1,0,0,205546
5,1.0,1,110,4.0,2,0,0,1,0,0,0,0,360000
6,1.0,1,65,2.0,1,1,0,0,0,0,0,0,171288
7,1.0,1,95,3.0,1,1,0,1,0,0,0,0,315120
8,1.0,5,60,3.0,1,1,0,0,0,0,0,0,171300
9,1.0,6,80,3.0,2,1,0,0,0,0,0,0,227183
10,1.0,4,75,3.0,1,1,0,0,0,0,0,0,205710
11,1.0,7,67,2.0,1,0,0,0,0,0,0,0,171288
12,1.0,4,70,3.0,1,0,0,0,0,0,0,0,183308
13,1.0,8,110,3.0,2,0,0,0,0,0,0,0,270405
14,1.0,7,46,2.0,1,0,0,0,0,0,0,0,119000
15,1.0,7,110,4.0,1,0,1,0,0,0,0,0,255430
16,1.0,8,90,3.0,0,1,0,1,0,0,0,0,215000
17,1.0,8,84,3.0,2,1,0,0,0,1,0,0,252426
18,1.0,9,100,1.0,1,0,0,0,0,0,1,0,99168
19,1.0,5,88,3.0,1,1,0,0,0,0,0,0,252425
20,1.0,1,100,4.0,2,0,0,0,0,0,0,0,297501
21,1.0,8,110,3.0,2,0,0,0,0,1,0,0,324600
22,1.0,7,60,3.0,1,0,0,0,0,0,0,0,145145
23,1.0,0,70,3.0,1,0,0,0,0,0,0,0,225380
24,1.0,4,70,3.0,1,0,0,0,0,1,0,0,175015
25,1.0,6,80,3.0,1,0,0,1,0,0,0,0,141237
26,1.0,0,65,3.0,1,1,0,0,0,0,0,0,230900
27,1.0,5,110,2.0,2,0,0,1,0,0,1,0,203744
28,1.0,7,50,2.0,1,1,0,0,0,0,0,0,155662
29,1.0,0,111,4.0,2,0,0,1,0,1,0,0,420708
30,1.0,5,117,3.0,2,1,0,1,1,0,0,0,297500
31,1.0,1,95,2.5,1,1,0,0,0,0,0,0,210000
32,1.0,0,40,1.0,1,0,0,0,0,0,0,0,149652
33,1.0,9,90,4.0,2,1,1,1,0,0,0,0,233794
34,1.0,5,103,3.0,2,0,0,1,0,0,0,0,511350
35,1.0,4,103,3.0,1,0,0,1,0,0,0,0,155662
36,1.0,1,73,2.0,2,1,0,0,0,0,0,0,210355
37,1.0,8,80,3.0,1,1,0,0,0,0,0,0,198300
38,1.0,3,95,4.0,2,0,0,0,0,0,0,0,252425
39,1.0,7,70,3.0,1,1,0,0,0,0,0,0,177023
40,1.0,0,55,2.0,1,0,0,0,0,0,0,0,144242
41,1.0,2,250,5.0,2,0,0,0,1,0,0,0,961619
42,1.0,1,75,1.0,1,0,1,1,0,0,0,0,300500
43,1.0,3,110,4.0,2,1,0,0,0,0,0,0,375633
44,1.0,4,60,2.0,1,1,0,0,0,0,0,1,153258
45,1.0,5,82,4.0,1,0,0,0,0,0,0,0,143040
46,1.0,6,70,3.0,1,0,0,0,0,0,0,0,135228
47,1.0,6,110,5.0,3,1,1,1,0,0,0,0,336567
48,1.0,4,66,2.0,1,0,1,1,0,0,0,0,137540
49,1.0,6,110,4.0,2,0,0,0,0,0,0,0,378637
50,1.0,7,78,3.0,1,1,0,0,0,0,0,0,223570
51,1.0,6,55,2.0,1,0,0,0,0,0,0,0,126212
52,1.0,1,80,3.0,1,1,0,0,0,1,0,0,257233
53,1.0,4,45,2.0,1,1,0,1,0,0,0,0,113591
54,1.0,4,65,3.0,1,0,0,0,0,0,0,0,125011
55,1.0,9,80,3.0,2,1,0,0,0,0,0,0,209754
56,1.0,6,85,4.0,1,1,0,0,0,0,0,0,222376
57,1.0,8,190,6.0,4,0,0,0,0,0,0,0,543900
58,1.0,5,70,3.0,1,0,0,0,0,0,0,0,174300
59,1.0,1,80,3.0,2,1,0,0,0,0,0,0,294000
60,1.0,1,113,1.0,1,0,0,1,0,0,0,0,454365
61,1.0,4,60,3.0,1,0,0,0,0,1,0,0,149291
62,1.0,7,60,3.0,1,0,0,0,0,0,0,0,156263
63,1.0,1,84,3.0,1,0,0,0,0,0,0,0,282475
64,1.0,6,80,4.0,1,0,0,0,0,0,0,0,225500
65,1.0,1,120,1.0,1,0,0,1,0,0,0,0,432700
66,1.0,4,80,3.0,1,0,0,0,0,0,0,0,179703
67,1.0,4,75,3.0,1,0,1,1,0,0,0,0,200000
68,1.0,5,100,4.0,1,1,0,1,0,0,0,0,207349
69,1.0,2,100,3.0,2,0,0,0,1,1,0,0,468789
70,1.0,5,105,4.0,2,1,0,0,1,0,0,1,348587
71,1.0,9,146,4.0,2,0,0,0,1,1,0,0,462779
72,1.0,4,75,3.0,1,1,0,0,0,0,0,0,179700
73,1.0,5,65,2.0,1,0,0,0,0,0,0,0,108200
