City Zone,m^2,Rooms,Bathrooms,Elevator,"""Atico""",Terrasse,Parking,Kitchen,House Style,Yard,Predicted Price,,R2 in the sample,Your equation
Nou Barris,90,3,1,1,0,0,0,0,0,0,,,,
Horta - Guinardó,70,3,1,0,0,0,0,0,0,0,,,,
Gràcia,70,2,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,70,2,1,0,0,0,0,0,0,0,,,,
Sant Andreu,65,3,1,0,0,0,0,0,0,0,,,,
Eixample,80,4,1,1,0,0,1,0,0,0,,,,
Nou Barris,65,3,1,0,0,0,0,0,0,0,,,,
Gràcia,120,4,2,1,0,0,1,0,0,1,,,,
Sants - Montjuïc,85,3,1,0,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,100,4,2,0,0,1,0,0,0,0,,,,
Nou Barris,80,3,1,1,0,0,0,1,0,0,,,,
Sant Andreu,85,3,1,0,0,0,0,0,0,0,,,,
Eixample,80,2,2,0,0,0,0,0,0,0,,,,
Horta - Guinardó,75,3,1,0,1,0,0,0,0,0,,,,
Gràcia,100,4,2,0,0,0,0,1,0,0,,,,
Eixample,90,3,1,0,0,0,0,0,0,0,,,,
Eixample,70,3,1,1,0,0,0,0,0,0,,,,
Eixample,100,1,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,75,2,1,0,0,0,0,0,0,0,,,,
Horta - Guinardó,35,1,1,0,0,0,0,0,0,0,,,,
Nou Barris,75,4,1,1,0,1,0,0,0,0,,,,
Nou Barris,65,3,1,1,0,0,0,0,0,0,,,,
Sant Andreu,70,3,1,0,0,0,0,1,0,0,,,,
Sants - Montjuïc,44,2,1,0,0,0,0,1,0,0,,,,
Horta - Guinardó,95,4,1,1,0,1,0,0,0,0,,,,
Horta - Guinardó,75,3,1,0,0,0,0,0,0,0,,,,
Nou Barris,57,3,1,0,0,0,0,1,0,0,,,,
Horta - Guinardó,75,3,1,0,0,0,1,0,0,1,,,,
Horta - Guinardó,60,3,1,0,0,0,0,0,0,0,,,,
Gràcia,75,2,1,0,0,0,0,0,0,0,,,,
Eixample,75,3,1,0,0,1,0,0,0,0,,,,
Sant Andreu,80,4,1,1,0,0,0,1,0,0,,,,
Horta - Guinardó,70,3,1,0,0,0,0,0,0,0,,,,
Sarria - Sant Gervasi,200,5,3,0,0,1,1,0,1,0,,,,
Sants - Montjuïc,65,3,1,0,0,0,0,0,0,0,,,,
Eixample,120,4,2,1,1,1,0,1,0,0,,,,
