week;price;cartel;quantity;seas1;seas2;seas3;seas4;seas5;seas6;seas7;seas8;seas9;seas10;seas11;seas12;ice
1;0.4;1;13632;1;0;0;0;0;0;0;0;0;0;0;0;1
2;0.4;1;20035;1;0;0;0;0;0;0;0;0;0;0;0;1
3;0.4;1;16319;1;0;0;0;0;0;0;0;0;0;0;0;1
4;0.4;1;12603;1;0;0;0;0;0;0;0;0;0;0;0;1
5;0.4;1;23079;0;1;0;0;0;0;0;0;0;0;0;0;1
6;0.4;1;19652;0;1;0;0;0;0;0;0;0;0;0;0;1
7;0.4;1;16211;0;1;0;0;0;0;0;0;0;0;0;0;1
8;0.4;1;22914;0;1;0;0;0;0;0;0;0;0;0;0;1
9;0.4;1;23710;0;0;1;0;0;0;0;0;0;0;0;0;1
10;0.35;1;23036;0;0;1;0;0;0;0;0;0;0;0;0;1
11;0.35;1;38414;0;0;1;0;0;0;0;0;0;0;0;0;1
12;0.35;1;46906;0;0;1;0;0;0;0;0;0;0;0;0;1
13;0.35;1;58608;0;0;0;1;0;0;0;0;0;0;0;0;1
14;0.35;1;51225;0;0;0;1;0;0;0;0;0;0;0;0;1
15;0.35;1;37339;0;0;0;1;0;0;0;0;0;0;0;0;0
16;0.3;1;20298;0;0;0;1;0;0;0;0;0;0;0;0;0
17;0.3;1;13699;0;0;0;0;1;0;0;0;0;0;0;0;0
18;0.3;1;11944;0;0;0;0;1;0;0;0;0;0;0;0;0
19;0.3;1;10658;0;0;0;0;1;0;0;0;0;0;0;0;0
20;0.3;1;9756;0;0;0;0;1;0;0;0;0;0;0;0;0
21;0.3;1;9546;0;0;0;0;0;1;0;0;0;0;0;0;0
22;0.3;1;16713;0;0;0;0;0;1;0;0;0;0;0;0;0
23;0.3;1;16389;0;0;0;0;0;1;0;0;0;0;0;0;0
24;0.3;1;23179;0;0;0;0;0;1;0;0;0;0;0;0;0
25;0.3;1;34999;0;0;0;0;0;0;1;0;0;0;0;0;0
26;0.3;1;35267;0;0;0;0;0;0;1;0;0;0;0;0;0
27;0.3;1;20402;0;0;0;0;0;0;1;0;0;0;0;0;0
28;0.3;1;21020;0;0;0;0;0;0;1;0;0;0;0;0;0
29;0.3;1;16612;0;0;0;0;0;0;0;1;0;0;0;0;0
30;0.3;1;14834;0;0;0;0;0;0;0;1;0;0;0;0;0
31;0.3;1;11149;0;0;0;0;0;0;0;1;0;0;0;0;0
32;0.3;1;16035;0;0;0;0;0;0;0;1;0;0;0;0;0
33;0.3;1;18555;0;0;0;0;0;0;0;0;1;0;0;0;0
34;0.3;1;17413;0;0;0;0;0;0;0;0;1;0;0;0;0
35;0.3;1;19412;0;0;0;0;0;0;0;0;1;0;0;0;0
36;0.3;1;20240;0;0;0;0;0;0;0;0;1;0;0;0;0
37;0.3;1;11824;0;0;0;0;0;0;0;0;0;1;0;0;0
38;0.3;1;17793;0;0;0;0;0;0;0;0;0;1;0;0;0
39;0.3;1;20157;0;0;0;0;0;0;0;0;0;1;0;0;0
40;0.3;1;18623;0;0;0;0;0;0;0;0;0;1;0;0;0
41;0.3;1;19062;0;0;0;0;0;0;0;0;0;0;1;0;0
42;0.3;1;20840;0;0;0;0;0;0;0;0;0;0;1;0;0
43;0.3;1;18972;0;0;0;0;0;0;0;0;0;0;1;0;0
44;0.3;1;19690;0;0;0;0;0;0;0;0;0;0;1;0;0
45;0.3;1;20206;0;0;0;0;0;0;0;0;0;0;0;1;0
46;0.3;1;23081;0;0;0;0;0;0;0;0;0;0;0;1;0
47;0.3;1;21209;0;0;0;0;0;0;0;0;0;0;0;1;0
48;0.35;1;13753;0;0;0;0;0;0;0;0;0;0;0;1;0
49;0.35;1;14956;0;0;0;0;0;0;0;0;0;0;0;0;1
50;0.35;1;13295;0;0;0;0;0;0;0;0;0;0;0;0;1
51;0.35;1;16935;0;0;0;0;0;0;0;0;0;0;0;0;1
52;0.35;1;24499;0;0;0;0;0;0;0;0;0;0;0;0;1
53;0.35;1;20078;1;0;0;0;0;0;0;0;0;0;0;0;1
54;0.35;1;24144;1;0;0;0;0;0;0;0;0;0;0;0;1
55;0.35;1;26157;1;0;0;0;0;0;0;0;0;0;0;0;1
56;0.35;1;22055;1;0;0;0;0;0;0;0;0;0;0;0;1
57;0.35;1;21973;0;1;0;0;0;0;0;0;0;0;0;0;1
58;0.35;1;23794;0;1;0;0;0;0;0;0;0;0;0;0;1
59;0.35;1;23116;0;1;0;0;0;0;0;0;0;0;0;0;1
60;0.35;1;23578;0;1;0;0;0;0;0;0;0;0;0;0;1
61;0.35;1;21568;0;0;1;0;0;0;0;0;0;0;0;0;1
62;0.35;0;17494;0;0;1;0;0;0;0;0;0;0;0;0;1
63;0.35;0;16260;0;0;1;0;0;0;0;0;0;0;0;0;1
64;0.35;0;26690;0;0;1;0;0;0;0;0;0;0;0;0;1
65;0.35;0;21723;0;0;0;1;0;0;0;0;0;0;0;0;1
66;0.35;0;30625;0;0;0;1;0;0;0;0;0;0;0;0;1
67;0.35;0;36618;0;0;0;1;0;0;0;0;0;0;0;0;1
68;0.3;0;42182;0;0;0;1;0;0;0;0;0;0;0;0;1
69;0.25;0;47432;0;0;0;0;1;0;0;0;0;0;0;0;1
70;0.3;1;43822;0;0;0;0;1;0;0;0;0;0;0;0;1
71;0.3;1;36457;0;0;0;0;1;0;0;0;0;0;0;0;1
72;0.3;1;29093;0;0;0;0;1;0;0;0;0;0;0;0;1
73;0.3;1;21729;0;0;0;0;0;1;0;0;0;0;0;0;0
74;0.3;1;21265;0;0;0;0;0;1;0;0;0;0;0;0;0
75;0.3;1;18505;0;0;0;0;0;1;0;0;0;0;0;0;0
76;0.3;0;14540;0;0;0;0;0;1;0;0;0;0;0;0;0
77;0.3;0;19366;0;0;0;0;0;0;1;0;0;0;0;0;0
78;0.25;0;55732;0;0;0;0;0;0;1;0;0;0;0;0;0
79;0.15;0;42346;0;0;0;0;0;0;1;0;0;0;0;0;0
80;0.15;0;28960;0;0;0;0;0;0;1;0;0;0;0;0;0
81;0.15;0;30434;0;0;0;0;0;0;0;1;0;0;0;0;0
82;0.15;0;26139;0;0;0;0;0;0;0;1;0;0;0;0;0
83;0.15;0;31075;0;0;0;0;0;0;0;1;0;0;0;0;0
84;0.15;0;29433;0;0;0;0;0;0;0;1;0;0;0;0;0
85;0.15;0;29136;0;0;0;0;0;0;0;0;1;0;0;0;0
86;0.15;0;31126;0;0;0;0;0;0;0;0;1;0;0;0;0
87;0.15;0;35384;0;0;0;0;0;0;0;0;1;0;0;0;0
88;0.15;0;36701;0;0;0;0;0;0;0;0;1;0;0;0;0
89;0.15;0;37771;0;0;0;0;0;0;0;0;0;1;0;0;0
90;0.15;0;38247;0;0;0;0;0;0;0;0;0;1;0;0;0
91;0.15;0;39518;0;0;0;0;0;0;0;0;0;1;0;0;0
92;0.15;0;30603;0;0;0;0;0;0;0;0;0;1;0;0;0
93;0.125;0;28383;0;0;0;0;0;0;0;0;0;0;1;0;0
94;0.125;0;24678;0;0;0;0;0;0;0;0;0;0;1;0;0
95;0.125;0;27839;0;0;0;0;0;0;0;0;0;0;1;0;0
96;0.125;0;26767;0;0;0;0;0;0;0;0;0;0;1;0;0
97;0.125;0;24041;0;0;0;0;0;0;0;0;0;0;0;1;0
98;0.2;0;23355;0;0;0;0;0;0;0;0;0;0;0;1;0
99;0.2;0;26491;0;0;0;0;0;0;0;0;0;0;0;1;0
100;0.2;0;20900;0;0;0;0;0;0;0;0;0;0;0;1;0
101;0.2;0;26410;0;0;0;0;0;0;0;0;0;0;0;0;1
102;0.2;0;26195;0;0;0;0;0;0;0;0;0;0;0;0;1
103;0.2;0;22427;0;0;0;0;0;0;0;0;0;0;0;0;1
104;0.125;0;27535;0;0;0;0;0;0;0;0;0;0;0;0;1
105;0.125;0;25738;1;0;0;0;0;0;0;0;0;0;0;0;1
106;0.125;0;23429;1;0;0;0;0;0;0;0;0;0;0;0;1
107;0.125;0;32745;1;0;0;0;0;0;0;0;0;0;0;0;1
108;0.125;0;37950;1;0;0;0;0;0;0;0;0;0;0;0;1
109;0.2;1;41466;0;1;0;0;0;0;0;0;0;0;0;0;1
110;0.2;1;49276;0;1;0;0;0;0;0;0;0;0;0;0;1
111;0.2;1;37850;0;1;0;0;0;0;0;0;0;0;0;0;1
112;0.2;1;32893;0;1;0;0;0;0;0;0;0;0;0;0;1
113;0.2;1;24410;0;0;1;0;0;0;0;0;0;0;0;0;1
114;0.2;1;15104;0;0;1;0;0;0;0;0;0;0;0;0;1
115;0.2;1;13819;0;0;1;0;0;0;0;0;0;0;0;0;1
116;0.25;1;22959;0;0;1;0;0;0;0;0;0;0;0;0;1
117;0.25;1;14486;0;0;0;1;0;0;0;0;0;0;0;0;1
118;0.25;1;15254;0;0;0;1;0;0;0;0;0;0;0;0;1
119;0.25;1;16607;0;0;0;1;0;0;0;0;0;0;0;0;1
120;0.25;1;17475;0;0;0;1;0;0;0;0;0;0;0;0;0
121;0.25;1;12704;0;0;0;0;1;0;0;0;0;0;0;0;0
122;0.25;1;14399;0;0;0;0;1;0;0;0;0;0;0;0;0
123;0.25;1;12023;0;0;0;0;1;0;0;0;0;0;0;0;0
124;0.25;1;9626;0;0;0;0;1;0;0;0;0;0;0;0;0
125;0.25;1;6482;0;0;0;0;0;1;0;0;0;0;0;0;0
126;0.25;1;10520;0;0;0;0;0;1;0;0;0;0;0;0;0
127;0.25;1;12588;0;0;0;0;0;1;0;0;0;0;0;0;0
128;0.25;1;12468;0;0;0;0;0;1;0;0;0;0;0;0;0
129;0.25;1;10930;0;0;0;0;0;0;1;0;0;0;0;0;0
130;0.25;1;10997;0;0;0;0;0;0;1;0;0;0;0;0;0
131;0.25;1;8618;0;0;0;0;0;0;1;0;0;0;0;0;0
132;0.25;1;4810;0;0;0;0;0;0;1;0;0;0;0;0;0
133;0.25;1;5832;0;0;0;0;0;0;0;1;0;0;0;0;0
134;0.25;1;8536;0;0;0;0;0;0;0;1;0;0;0;0;0
135;0.25;1;11204;0;0;0;0;0;0;0;1;0;0;0;0;0
136;0.25;1;10591;0;0;0;0;0;0;0;1;0;0;0;0;0
137;0.25;1;9978;0;0;0;0;0;0;0;0;1;0;0;0;0
138;0.25;1;9374;0;0;0;0;0;0;0;0;1;0;0;0;0
139;0.25;1;19466;0;0;0;0;0;0;0;0;1;0;0;0;0
140;0.25;1;23085;0;0;0;0;0;0;0;0;1;0;0;0;0
141;0.25;1;18981;0;0;0;0;0;0;0;0;0;1;0;0;0
142;0.25;1;16595;0;0;0;0;0;0;0;0;0;1;0;0;0
143;0.25;1;13182;0;0;0;0;0;0;0;0;0;1;0;0;0
144;0.25;1;11626;0;0;0;0;0;0;0;0;0;1;0;0;0
145;0.25;1;12996;0;0;0;0;0;0;0;0;0;0;1;0;0
146;0.25;1;14852;0;0;0;0;0;0;0;0;0;0;1;0;0
147;0.25;1;11508;0;0;0;0;0;0;0;0;0;0;1;0;0
148;0.25;1;12996;0;0;0;0;0;0;0;0;0;0;1;0;0
149;0.25;1;17942;0;0;0;0;0;0;0;0;0;0;0;1;0
150;0.25;1;15498;0;0;0;0;0;0;0;0;0;0;0;1;0
151;0.25;1;18121;0;0;0;0;0;0;0;0;0;0;0;1;0
152;0.25;1;17914;0;0;0;0;0;0;0;0;0;0;0;1;0
153;0.3;1;21217;0;0;0;0;0;0;0;0;0;0;0;0;1
154;0.3;1;22418;0;0;0;0;0;0;0;0;0;0;0;0;1
155;0.3;1;26230;0;0;0;0;0;0;0;0;0;0;0;0;1
156;0.3;1;26458;0;0;0;0;0;0;0;0;0;0;0;0;1
157;0.3;1;36168;1;0;0;0;0;0;0;0;0;0;0;0;1
158;0.3;1;30721;1;0;0;0;0;0;0;0;0;0;0;0;1
159;0.3;1;41071;1;0;0;0;0;0;0;0;0;0;0;0;1
160;0.3;1;28865;1;0;0;0;0;0;0;0;0;0;0;0;1
161;0.3;1;29221;0;1;0;0;0;0;0;0;0;0;0;0;1
162;0.3;1;22245;0;1;0;0;0;0;0;0;0;0;0;0;1
163;0.3;1;20377;0;1;0;0;0;0;0;0;0;0;0;0;1
164;0.3;0;36343;0;1;0;0;0;0;0;0;0;0;0;0;1
165;0.3;1;33227;0;0;1;0;0;0;0;0;0;0;0;0;1
166;0.3;1;33806;0;0;1;0;0;0;0;0;0;0;0;0;1
167;0.3;1;43998;0;0;1;0;0;0;0;0;0;0;0;0;1
168;0.3;1;45342;0;0;1;0;0;0;0;0;0;0;0;0;1
169;0.3;1;45659;0;0;0;1;0;0;0;0;0;0;0;0;1
170;0.3;1;30864;0;0;0;1;0;0;0;0;0;0;0;0;1
171;0.3;1;16522;0;0;0;1;0;0;0;0;0;0;0;0;1
